"name","type","description"
"X","integer","x-axis spatial coordinate within the Montesinho park map: 1 to 9"
"Y","integer","y-axis spatial coordinate within the Montesinho park map: 2 to 9"
"month","string","month of the year: 'jan' to 'dec'"
"day","string","day of the week: 'mon' to 'sun'"
"FFMC","float","FFMC index from the FWI system: 18.7 to 96.20"
"DMC","float","DMC index from the FWI system: 1.1 to 291.3"
"DC","float","DC index from the FWI system: 7.9 to 860.6"
"ISI","float","ISI index from the FWI system: 0.0 to 56.10"
"temp","float","temperature in Celsius degrees: 2.2 to 33.30"
"RH","float","relative humidity in %: 15.0 to 100"
"wind","float","wind speed in km/h: 0.40 to 9.40"
"rain","float","outside rain in mm/m2 : 0.0 to 6.4"
"area","float","the burned area of the forest (in ha): 0.00 to 1090.84. The predictor is very skewed towards 0. Might be a good idea to model it with ln(x)"
